career_id,career_name,skill_name,importance_weight,is_required
1,Software Developer,dsa,4.75,1
1,Software Developer,python,3.75,1
1,Software Developer,java,4.0,1
1,Software Developer,sql,3.5,1
1,Software Developer,git,4.25,1
1,Software Developer,restapi,3.0,0
1,Software Developer,cpp,3.0,0
1,Software Developer,c,2.75,0
2,Data Analyst,sql,4.75,1
2,Data Analyst,pandas,4.5,1
2,Data Analyst,numpy,4.0,1
2,Data Analyst,statistics,4.4,1
2,Data Analyst,powerbi,4.0,1
2,Data Analyst,tableau,3.5,1
2,Data Analyst,python,3.75,1
3,Data Scientist,python,4.75,1
3,Data Scientist,pandas,4.5,1
3,Data Scientist,numpy,4.4,1
3,Data Scientist,sklearn,4.6,1
3,Data Scientist,machine_learning,4.75,1
3,Data Scientist,statistics,4.4,1
3,Data Scientist,sql,3.75,1
3,Data Scientist,deep_learning,3.25,0
4,AI/ML Engineer,python,4.9,1
4,AI/ML Engineer,machine_learning,4.9,1
4,AI/ML Engineer,deep_learning,4.75,1
4,AI/ML Engineer,sklearn,4.5,1
4,AI/ML Engineer,tensorflow,4.25,1
4,AI/ML Engineer,pytorch,4.4,1
4,AI/ML Engineer,fastapi,3.25,0
4,AI/ML Engineer,docker,3.0,0
5,Frontend Developer,html,4.9,1
5,Frontend Developer,css,4.9,1
5,Frontend Developer,javascript,4.9,1
5,Frontend Developer,react,4.75,1
5,Frontend Developer,typescript,4.4,1
5,Frontend Developer,nextjs,4.0,1
5,Frontend Developer,git,4.0,1
6,Backend Developer,python,4.5,1
6,Backend Developer,nodejs,4.0,1
6,Backend Developer,sql,4.5,1
6,Backend Developer,mysql,4.1,1
6,Backend Developer,postgresql,3.9,1
6,Backend Developer,fastapi,4.4,1
6,Backend Developer,restapi,4.5,1
6,Backend Developer,docker,3.5,1
7,Cloud Engineer,aws,4.75,1
7,Cloud Engineer,gcp,4.0,1
7,Cloud Engineer,azure,4.0,1
7,Cloud Engineer,docker,4.5,1
7,Cloud Engineer,kubernetes,4.4,1
7,Cloud Engineer,linux,4.5,1
7,Cloud Engineer,git,4.25,1
