student_id,career_label,cgpa,tenth_percentage,twelfth_percentage,aptitude_quant,aptitude_logical,aptitude_verbal,aptitude_technical,aptitude_total,num_projects,project_complexity,num_certifications,cert_relevance,interest_match,domain_match,skill_python,skill_java,skill_c,skill_cpp,skill_javascript,skill_typescript,skill_html,skill_css,skill_react,skill_nextjs,skill_nodejs,skill_fastapi,skill_restapi,skill_sql,skill_mysql,skill_postgresql,skill_mongodb,skill_pandas,skill_numpy,skill_statistics,skill_powerbi,skill_tableau,skill_sklearn,skill_tensorflow,skill_pytorch,skill_machine_learning,skill_deep_learning,skill_aws,skill_gcp,skill_azure,skill_docker,skill_kubernetes,skill_git,skill_linux,skill_dsa
1,Software Developer,8.56,85.3,100.0,66.8,73.7,73.5,76.5,72.6,2,3,1,0,1,1,3,3,1,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2
2,Software Developer,7.91,83.6,77.6,63.1,80.3,73.9,68.6,71.5,1,2,1,0,0,1,3,2,2,3,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,3
3,Software Developer,5.88,87.9,85.1,69.7,90.2,66.4,67.7,73.5,2,2,1,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1
4,Software Developer,7.52,79.4,64.6,69.0,77.4,62.5,66.5,68.8,2,3,2,1,1,1,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,2,1,0,0,2,0,3
5,Software Developer,8.4,75.7,64.8,83.3,78.8,56.0,72.0,72.5,1,2,3,1,1,1,3,3,0,1,0,0,0,0,1,0,0,0,1,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
6,Software Developer,8.19,71.6,92.7,74.5,68.9,84.5,71.2,74.8,3,3,1,1,1,1,3,0,0,2,0,1,0,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2
7,Software Developer,7.71,78.2,75.8,81.1,86.4,55.3,100.0,82.7,1,3,2,1,0,1,2,3,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
8,Software Developer,6.88,83.9,67.5,62.0,76.9,53.9,100.0,73.5,2,2,3,1,1,1,0,3,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Software Developer,6.69,59.3,82.5,62.3,89.7,54.2,57.6,66.0,3,3,1,1,1,1,2,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,2
10,Software Developer,7.88,85.6,82.0,71.9,66.5,78.1,85.1,75.4,4,2,3,1,1,1,3,0,2,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,Software Developer,6.98,95.8,78.3,75.9,79.0,68.0,81.8,76.2,3,1,0,0,1,1,1,0,0,3,2,1,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,3
12,Software Developer,6.87,85.4,61.7,93.9,70.5,55.0,64.7,71.0,0,3,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,3
13,Software Developer,7.09,82.3,71.9,76.8,80.3,51.8,63.8,68.2,3,1,2,1,1,1,0,2,2,2,0,0,1,0,0,0,0,1,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,3
14,Software Developer,7.31,76.7,82.3,78.5,100.0,59.4,75.7,79.0,1,1,2,0,1,1,3,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2
15,Software Developer,7.74,76.3,79.2,85.4,64.9,82.4,76.4,77.3,1,1,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,1,0,3
16,Software Developer,7.26,70.6,90.2,59.3,47.2,78.2,86.8,67.9,3,1,0,0,1,1,2,3,0,0,2,0,0,0,0,0,0,0,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
17,Software Developer,8.63,92.2,67.3,71.9,91.0,62.1,73.2,74.5,2,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3
18,Software Developer,7.4,75.5,100.0,69.4,68.5,79.9,73.3,72.8,3,2,3,1,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3
19,Software Developer,8.71,93.0,71.5,71.1,80.1,62.8,65.4,69.8,4,3,3,1,1,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2
20,Software Developer,8.05,81.2,93.0,81.8,71.1,67.7,73.4,73.5,3,2,0,0,0,1,2,2,3,0,0,0,0,2,0,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,2
21,Software Developer,7.5,70.5,74.9,76.0,65.9,62.5,82.3,71.7,4,3,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,3
22,Software Developer,9.62,75.7,74.3,85.1,66.3,69.9,64.4,71.4,2,2,1,1,1,0,1,3,0,1,1,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
23,Software Developer,7.15,81.0,78.4,78.7,86.4,48.8,82.8,74.2,2,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3
24,Software Developer,8.19,77.1,78.1,60.5,79.0,63.2,75.4,69.5,2,2,2,1,0,0,1,3,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2
25,Software Developer,6.99,81.5,66.1,61.0,74.0,73.6,75.8,71.1,2,3,0,0,1,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2
26,Software Developer,7.53,70.7,77.6,67.0,62.6,75.4,64.2,67.3,1,1,2,0,1,1,2,3,0,3,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
27,Software Developer,7.52,68.6,81.4,69.3,77.4,59.8,73.3,70.0,2,2,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,Software Developer,6.54,66.7,77.1,70.9,77.9,91.9,58.6,74.8,2,1,1,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,2
29,Software Developer,7.94,76.6,81.4,93.5,64.1,42.9,67.1,66.9,3,2,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,2,0,2
30,Software Developer,7.38,83.4,81.6,63.2,53.3,66.9,72.0,63.9,3,2,0,0,0,1,0,3,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
31,Software Developer,7.25,83.6,77.3,66.8,66.1,78.8,52.5,66.0,1,3,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Software Developer,6.22,80.0,81.4,71.8,79.7,79.9,75.1,76.6,3,3,2,1,1,1,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,3,0,0,0,0,2,3,2,2
33,Software Developer,7.76,90.4,69.8,46.2,73.7,73.6,59.3,63.2,2,1,2,0,1,1,0,2,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1
34,Software Developer,6.98,78.2,71.1,78.3,61.3,63.9,70.7,68.5,0,2,1,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,3,0,0,2,3,2,0,0,0,0,0,0,1,3,3
35,Software Developer,7.43,83.6,74.0,77.1,77.6,66.8,95.0,79.1,3,1,2,1,0,1,3,2,0,0,0,0,0,2,1,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
