account_age,month,payment_type,income,employment_status,customer_age,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,proposed_credit_limit,device_fraud_count,fraud_bool
11,4,AA,0.61,CA,40,1184,3628.44,5435.17,1087.35,4,2,758,0,BF,1,1,10,835.99,0,0
28,0,AC,0.26,CB,49,1171,1553.14,231.73,13635.86,6,9,322,1,BF,1,1,18,835.99,0,0
7,7,AD,0.33,CD,41,1180,3833.57,1193.41,4065.94,9,14,549,1,BD,1,1,17,835.99,0,0
17,1,AD,0.84,CE,21,1261,194.16,15526.53,13947.72,8,4,653,0,BC,1,1,30,835.99,0,0
28,5,AE,0.1,CB,47,1210,1251.0,17424.95,3201.37,14,6,720,0,BA,1,1,21,835.99,0,0
12,2,AD,0.16,CC,84,1129,10199.67,3242.32,10176.81,19,9,428,1,BE,1,1,17,835.99,0,1
17,0,AC,0.54,CE,62,1159,5176.82,17738.51,11435.61,14,4,387,0,BF,0,1,2,835.99,0,0
7,3,AA,0.54,CC,75,1224,8478.27,2736.04,5533.64,18,6,355,0,BA,1,1,32,835.99,0,0
1,1,AB,0.27,CE,20,1228,2570.55,17528.81,15053.85,9,9,790,1,BE,0,1,22,835.99,0,0
12,3,AD,0.36,CG,72,1200,14232.03,3722.91,24079.34,18,11,742,1,BD,1,1,30,835.99,0,1
2,3,AB,0.14,CB,74,1218,378.51,6333.23,13225.43,14,6,473,1,BD,0,1,25,835.99,0,0
25,2,AE,0.53,CA,66,1211,1144.32,3358.48,3890.27,19,13,747,1,BC,1,1,10,835.99,0,0
16,6,AC,0.49,CG,43,1195,6017.75,3480.35,8596.2,5,4,383,1,BB,1,1,1,835.99,0,0
4,6,AC,0.32,CA,44,1206,1154.67,6800.91,1481.64,15,13,690,1,BE,0,1,6,835.99,0,1
3,7,AD,0.3,CF,33,1222,2641.19,7468.6,67.46,0,0,531,1,BF,0,1,7,835.99,0,0
27,0,AB,0.55,CC,83,1175,1783.16,7403.18,1249.95,8,4,791,1,BA,0,1,25,835.99,0,0
19,3,AA,0.62,CC,32,1215,2539.21,3879.11,3209.47,6,10,650,0,BF,1,1,7,835.99,0,1
8,7,AA,0.2,CB,44,1269,28.04,5001.46,12829.9,17,3,610,1,BD,0,1,32,835.99,0,0
20,2,AB,0.13,CG,28,1244,3113.27,4908.1,6755.92,5,4,371,0,BB,1,1,24,835.99,0,0
10,3,AE,0.28,CG,47,1196,7083.3,1041.59,11418.89,15,3,528,1,BA,1,1,29,835.99,0,0
14,3,AB,0.69,CF,29,1196,5288.6,10455.2,2341.53,1,9,665,1,BB,1,1,28,835.99,0,1
2,1,AA,0.21,CB,84,1171,5714.44,2168.0,3802.39,16,4,682,0,BF,0,1,18,835.99,0,0
20,1,AD,0.14,CB,24,1190,1802.72,1631.83,17275.45,5,0,738,1,BB,0,1,33,835.99,0,0
5,7,AC,0.74,CC,30,1212,2447.86,2893.78,4611.88,17,4,730,0,BD,1,1,9,835.99,0,0
11,2,AE,0.9,CB,62,1244,4570.16,6785.16,11567.9,11,12,722,1,BB,1,1,4,835.99,0,0
20,3,AD,0.12,CC,70,1208,4991.46,3222.14,6857.28,2,7,671,0,BE,1,0,34,835.99,0,0
26,2,AA,0.58,CE,59,1197,15.14,2928.62,9416.3,6,6,639,1,BB,0,1,25,835.99,0,0
13,3,AE,0.49,CF,53,1141,5989.22,7808.87,1542.1,10,2,569,1,BD,0,1,6,835.99,0,0
0,5,AE,0.81,CG,39,1225,172.19,6135.19,11279.05,11,11,821,0,BE,0,1,25,835.99,0,0
16,4,AC,0.87,CF,32,1228,1399.52,11555.74,1137.09,8,7,769,0,BF,1,1,31,835.99,0,0
25,4,AC,0.28,CG,67,1159,2346.2,5541.02,5673.37,12,7,449,0,BB,1,1,1,835.99,0,0
1,0,AE,0.12,CG,33,1179,4507.31,4334.63,14778.71,1,4,672,1,BF,1,1,12,835.99,0,0
6,5,AB,0.18,CB,72,1229,2537.18,50.99,6172.31,7,14,493,1,BF,0,1,9,835.99,0,0
27,4,AC,0.77,CG,44,1194,2049.87,1003.5,3433.9,18,13,596,0,BE,1,1,22,835.99,0,0
4,0,AD,0.66,CG,75,1190,5584.62,2823.45,3287.56,14,8,753,1,BA,1,1,28,835.99,0,0
29,4,AE,0.24,CG,61,1192,1597.03,1050.43,7071.66,10,14,331,0,BB,1,1,21,835.99,0,0
10,7,AA,0.24,CD,79,1203,1524.66,937.55,2920.96,3,5,628,1,BD,0,1,18,835.99,0,1
11,0,AA,0.75,CE,67,1166,2206.84,9980.13,3352.43,17,11,458,1,BE,0,0,32,835.99,0,0
27,2,AE,0.68,CG,26,1212,8087.56,1591.73,3969.66,17,5,464,1,BD,1,0,5,835.99,0,0
28,4,AE,0.75,CA,28,1187,2678.91,291.14,18604.67,0,8,633,1,BE,1,1,15,835.99,0,0
15,0,AC,0.33,CB,22,1225,2516.13,5735.78,619.75,17,12,744,1,BB,1,1,27,835.99,0,0
22,1,AB,0.3,CC,43,1222,847.6,3602.32,11743.59,11,0,624,1,BF,1,0,25,835.99,0,0
8,2,AD,0.51,CA,39,1222,1445.29,6601.26,4355.84,11,8,579,1,BB,1,1,12,835.99,0,0
1,0,AC,0.8,CA,70,1233,1828.26,3474.77,2469.68,14,13,803,1,BA,1,1,30,835.99,0,0
