step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,PAYMENT,502.98,C199918317,15447.5,14944.52,M558470162,15598.4,16101.38,0,0
436,TRANSFER,1230.22,C743356978,15798.0,14567.78,C754627829,55964.74,57194.96,0,0
271,PAYMENT,2008.55,C943595605,35065.5,33056.95,M713156077,56175.81,58184.36,0,0
107,PAYMENT,515.86,C362119095,16866.87,16351.01,M865521065,19784.47,20300.33,0,0
72,CASH_OUT,813.45,C754499034,21497.03,20683.58,C659211812,28707.65,29521.1,0,0
701,PAYMENT,1176.86,C409050185,19166.23,17989.37,M646051608,66342.91,67519.77,0,0
21,TRANSFER,554.17,C979490176,9429.39,8875.22,C590051498,90670.28,91224.45,0,0
615,TRANSFER,16743.81,C563439216,21650.14,4906.33,C816613155,70129.72,86873.53,0,0
122,TRANSFER,4088.22,C686211475,11388.55,7300.33,C743604755,15712.17,19800.39,0,0
467,CASH_OUT,4169.18,C983675823,48574.24,44405.06,C876105091,82116.13,86285.31,0,0
215,TRANSFER,2108.33,C240942659,9229.89,7121.56,C251178705,8569.85,10678.18,0,0
331,PAYMENT,8136.38,C607600978,8548.92,412.54,M943480440,82244.7,90381.08,0,0
459,PAYMENT,3298.79,C835231796,17916.02,14617.23,M845437347,3436.37,6735.16,0,0
88,CASH_OUT,1009.47,C223634011,47173.79,46164.32,C257239418,44969.4,45978.87,0,0
373,TRANSFER,2362.4,C343366584,10950.77,8588.37,C965057642,76581.4,78943.8,0,0
100,DEBIT,1966.51,C832469311,48874.93,46908.42,C952887183,93411.88,95378.39,0,0
664,TRANSFER,2175.47,C469501326,6595.94,4420.47,C828341740,28094.53,30270.0,0,0
131,CASH_OUT,4260.62,C710333396,21494.24,17233.62,C748798992,83982.31,88242.93,0,0
662,CASH_IN,1786.14,C187738437,42575.58,40789.44,C895881227,6942.9,8729.04,0,0
309,CASH_OUT,3265.78,C480554502,39605.62,36339.84,C281342555,55221.8,58487.58,0,0
344,TRANSFER,726.2,C780101502,45215.15,44488.95,C442831589,50909.49,51635.69,0,0
492,TRANSFER,6727.9,C747582227,47432.6,40704.7,C623377016,24229.11,30957.01,0,0
414,TRANSFER,230.86,C227735766,30676.2,30445.34,C935949926,56423.38,56654.24,0,0
386,TRANSFER,12625.81,C174240854,20918.09,0.0,C361532669,98571.57,98571.57,1,0
192,PAYMENT,2508.76,C460803343,33646.92,31138.16,M541369592,89429.93,91938.69,0,0
277,CASH_OUT,1591.97,C156110553,12467.85,10875.88,C929643093,3037.89,4629.86,0,0
161,PAYMENT,935.49,C915772855,35688.25,34752.76,M948598415,19694.09,20629.58,0,0
460,PAYMENT,1303.58,C399904214,27896.18,26592.6,M204969911,14772.14,16075.72,0,0
314,CASH_OUT,3818.01,C289123787,30799.3,26981.29,C123832802,94697.3,98515.31,0,0
22,PAYMENT,380.41,C229124629,11112.33,10731.92,M851525204,65573.98,65954.39,0,0
253,CASH_OUT,733.17,C331353158,15043.92,14310.75,C826834908,91046.97,91780.14,0,0
561,DEBIT,335.2,C463893933,11030.06,10694.86,C137995595,94961.55,95296.75,0,0
475,CASH_IN,1395.67,C740795785,44974.95,43579.28,C920116346,61458.64,62854.31,0,0
59,CASH_OUT,1229.38,C737431509,6383.17,5153.79,C742291604,24481.25,25710.63,0,0
511,TRANSFER,2620.89,C347886812,4129.69,1508.8,C723396693,57978.15,60599.04,0,0
682,TRANSFER,13637.12,C406045077,5769.91,0.0,C998123620,46385.4,60022.52,0,0
476,TRANSFER,5577.39,C599400735,13324.4,7747.01,C167479027,72482.43,78059.82,0,0
700,PAYMENT,5313.54,C599219707,23988.39,18674.85,M866229596,93326.63,98640.17,0,0
190,PAYMENT,2599.09,C811247037,39054.59,36455.5,M563882236,79019.12,81618.21,0,0
687,CASH_OUT,793.86,C871962087,44894.35,44100.49,C589855856,35023.53,35817.39,0,0
563,PAYMENT,1216.62,C578484838,32497.51,31280.89,M334121514,19779.59,20996.21,0,0
567,PAYMENT,724.61,C682098544,6641.93,5917.32,M337219167,61164.07,61888.68,0,0
244,CASH_OUT,367.81,C290808674,23351.5,22983.69,C235277659,11179.09,11546.9,0,0
505,PAYMENT,1436.89,C459474617,34051.44,32614.55,M171126129,59471.41,60908.3,0,0
131,PAYMENT,5700.59,C665178768,18564.78,12864.19,M196669466,5738.83,11439.42,0,0
485,PAYMENT,3409.89,C682694332,20434.03,17024.14,M462488083,41647.72,45057.61,0,0
647,CASH_OUT,10477.39,C559513537,26867.08,0.0,C488333974,97922.1,97922.1,1,0
21,CASH_OUT,546.71,C737326031,12192.62,11645.91,C103285000,86658.56,87205.27,0,0
167,CASH_OUT,1740.59,C380041910,42579.3,40838.71,C444305815,74908.97,76649.56,0,0
274,PAYMENT,3943.15,C192355667,2245.55,0.0,M884793216,14328.94,18272.09,0,0
388,CASH_OUT,1547.6,C378096424,38435.65,36888.05,C914401318,24396.93,25944.53,0,0
601,TRANSFER,1101.47,C738175917,33378.47,32277.0,C252102496,74196.28,75297.75,0,0
316,TRANSFER,4235.51,C596353200,3633.74,0.0,C463824843,65775.17,70010.68,0,0
14,TRANSFER,1411.65,C186512753,45193.91,43782.26,C847368085,74011.86,75423.51,0,0
242,TRANSFER,6108.68,C965355368,30976.04,24867.36,C507497958,63021.72,69130.4,0,0
346,TRANSFER,786.31,C189881152,8103.94,7317.63,C599711822,70127.2,70913.51,0,0
565,CASH_OUT,5674.34,C466328021,26278.65,20604.31,C573540944,48327.69,54002.03,0,0
340,PAYMENT,820.92,C324592905,21301.78,20480.86,M113343159,47689.43,48510.35,0,0
92,TRANSFER,859.69,C775538040,48267.58,47407.89,C503763527,29990.28,30849.97,0,0
367,TRANSFER,1369.34,C596124502,43841.33,42471.99,C124620764,384.58,1753.92,0,0
455,TRANSFER,1818.2,C554775343,19847.48,18029.28,C228473629,57562.81,59381.01,0,0
428,TRANSFER,1359.18,C515041072,25201.61,23842.43,C828241244,2350.21,3709.39,0,0
509,DEBIT,4958.96,C575276752,5777.2,818.24,C587357460,65063.31,70022.27,0,0
35,CASH_OUT,3973.81,C228074884,14098.49,10124.68,C850703110,91950.87,95924.68,0,0
206,CASH_OUT,932.16,C462094521,40870.09,39937.93,C635804529,6924.47,7856.63,0,0
81,CASH_OUT,1796.14,C727823472,30716.42,28920.28,C771490684,46676.54,48472.68,0,0
562,PAYMENT,1414.82,C419674783,17608.36,16193.54,M919317523,1123.39,2538.21,0,0
388,CASH_OUT,149.26,C651518354,39062.26,38913.0,C434453058,31825.15,31974.41,0,0
2,TRANSFER,3452.27,C118333036,10394.94,6942.67,C814598013,58019.83,61472.1,0,0
390,PAYMENT,506.21,C606671745,21422.12,20915.91,M258892177,42596.14,43102.35,0,0
566,PAYMENT,6805.63,C918756853,5590.43,0.0,M976862964,39522.58,46328.21,0,0
106,PAYMENT,1272.82,C924349342,39018.89,37746.07,M788023223,2103.31,3376.13,0,0
477,PAYMENT,2438.86,C971559520,6301.11,3862.25,M701663681,48471.23,50910.09,0,0
703,PAYMENT,4268.49,C725925187,19766.11,15497.62,M559605012,54499.58,58768.07,0,0
402,PAYMENT,502.03,C946471255,29139.51,28637.48,M762555965,98504.82,99006.85,0,0
730,CASH_OUT,1952.51,C983714139,23830.59,21878.08,C171223786,80926.44,82878.95,0,0
556,PAYMENT,682.62,C200536900,32081.71,31399.09,M617107387,69295.85,69978.47,0,0
162,TRANSFER,1786.7,C440036413,49915.39,48128.69,C558394920,72120.97,73907.67,0,0
202,CASH_OUT,2170.4,C676104690,31620.75,29450.35,C117254379,14179.3,16349.7,0,0
270,PAYMENT,468.24,C604984121,9629.04,9160.8,M477955330,77430.34,77898.58,0,0
271,CASH_OUT,2178.63,C605987234,40528.93,38350.3,C314229366,88783.72,90962.35,0,0
456,CASH_OUT,1522.0,C760776949,21385.0,19863.0,C514144789,9607.65,11129.65,0,0
462,PAYMENT,1850.36,C560260061,6369.12,4518.76,M700230730,25878.15,27728.51,0,0
727,PAYMENT,5888.83,C894617805,18280.27,12391.44,M156962398,22784.41,28673.24,0,0
252,PAYMENT,1658.17,C761702870,32011.17,30353.0,M736825988,90968.91,92627.08,0,0
702,PAYMENT,1621.37,C373445994,12589.15,10967.78,M813277578,66540.9,68162.27,0,0
296,PAYMENT,1594.08,C575245135,34226.8,32632.72,M829807383,5262.38,6856.46,0,0
725,PAYMENT,2444.47,C601999837,17709.5,15265.03,M875964361,15740.28,18184.75,0,0
720,PAYMENT,1150.26,C537255248,14045.88,12895.62,M991950169,37277.6,38427.86,0,0
338,TRANSFER,4045.65,C874925350,46447.67,42402.02,C206457928,99334.92,103380.57,0,0
53,PAYMENT,847.36,C760503426,24941.54,24094.18,M483669583,75208.07,76055.43,0,0
217,CASH_OUT,895.07,C171397824,46916.7,46021.63,C434806416,20839.29,21734.36,0,0
188,PAYMENT,2226.39,C732172807,29282.56,27056.17,M475766539,3390.0,5616.39,0,0
380,CASH_OUT,757.39,C966670810,44046.05,43288.66,C655103013,89750.08,90507.47,0,0
493,PAYMENT,240.63,C275778005,37199.88,36959.25,M741020796,11985.33,12225.96,0,0
41,CASH_OUT,580.37,C717239658,3432.86,2852.49,C239437984,32626.04,33206.41,0,0
157,PAYMENT,6128.58,C249622486,47779.86,41651.28,M713700888,37091.89,43220.47,0,0
15,TRANSFER,31.9,C493527547,8365.22,8333.32,C657917178,62508.54,62540.44,0,0
65,PAYMENT,363.12,C575728604,36706.23,36343.11,M532001828,57882.03,58245.15,0,0
521,TRANSFER,3552.45,C723745870,22714.66,19162.21,C380250982,74456.19,78008.64,0,0
344,PAYMENT,9767.72,C931583905,43330.94,33563.22,M454046301,33702.54,43470.26,0,0
129,TRANSFER,2918.37,C737739945,4348.13,1429.76,C881811545,84353.78,87272.15,0,0
648,PAYMENT,6393.36,C486468124,18285.02,11891.66,M113537326,67601.37,73994.73,0,0
472,TRANSFER,4836.62,C690671862,49244.47,44407.85,C176112110,88585.16,93421.78,0,0
63,PAYMENT,1639.67,C278492094,27389.82,25750.15,M663977320,89492.62,91132.29,0,0
139,PAYMENT,1019.38,C813832429,29443.45,28424.07,M522151241,89158.89,90178.27,0,0
499,TRANSFER,2505.8,C572884729,46540.56,44034.76,C538327090,6709.65,9215.45,0,0
593,CASH_IN,1911.53,C362808751,39701.14,37789.61,C928550542,41399.67,43311.2,0,0
392,TRANSFER,70.42,C583016681,14717.98,14647.56,C636728863,95721.69,95792.11,0,0
675,CASH_OUT,7888.73,C949445925,44954.83,37066.1,C753831061,38081.97,45970.7,0,0
419,TRANSFER,2116.36,C572296728,20796.08,18679.72,C851250800,16359.03,18475.39,0,0
289,TRANSFER,5193.46,C458834061,2193.1,0.0,C765561742,52754.3,57947.76,0,0
379,PAYMENT,3321.58,C240147963,7969.99,4648.41,M953836489,89066.68,92388.26,0,0
490,PAYMENT,1046.95,C530088754,38768.39,37721.44,M147736217,43588.78,44635.73,0,0
231,DEBIT,5790.58,C342150671,4981.89,0.0,C200254387,13927.64,19718.22,0,0
41,TRANSFER,3911.65,C807060684,5144.03,1232.38,C294593118,56497.42,60409.07,0,0
28,CASH_OUT,1409.38,C568256196,523.22,0.0,C411670044,86607.85,88017.23,0,0
135,TRANSFER,4593.94,C702058505,37007.91,32413.97,C797747634,36457.98,41051.92,0,0
201,TRANSFER,797.1,C960534846,27653.48,26856.38,C208733060,29194.24,29991.34,0,0
33,TRANSFER,2781.84,C241598385,36395.81,33613.97,C194299001,99017.55,101799.39,0,0
48,TRANSFER,309.24,C412005904,6357.64,6048.4,C526777545,72276.28,72585.52,0,0
503,PAYMENT,5025.46,C453467824,5181.24,155.78,M909464401,85783.55,90809.01,0,0
407,TRANSFER,3273.09,C626670471,9597.26,6324.17,C767064018,48494.25,51767.34,0,0
574,TRANSFER,418.86,C211701653,33191.68,32772.82,C738820281,65491.12,65909.98,0,0
728,CASH_IN,58.91,C299954821,35349.87,35290.96,C572988793,26608.4,26667.31,0,0
99,TRANSFER,1240.2,C961623329,48344.97,0.0,C824385895,43357.32,43357.32,1,0
684,CASH_OUT,2816.92,C172491977,44015.31,41198.39,C143325563,35257.13,38074.05,0,0
726,PAYMENT,837.21,C915313924,18014.76,17177.55,M558657683,508.67,1345.88,0,0
547,PAYMENT,9058.54,C536642963,3074.37,0.0,M167670858,38758.53,47817.07,0,0
739,DEBIT,6826.2,C595444315,49204.34,42378.14,C884237744,78191.62,85017.82,0,0
613,CASH_OUT,2282.89,C672721421,21159.41,18876.52,C817009587,64708.15,66991.04,0,0
462,PAYMENT,953.03,C381282521,34377.92,33424.89,M603672063,8451.08,9404.11,0,0
643,TRANSFER,5669.89,C544673185,10223.21,4553.32,C862691286,98409.3,104079.19,0,0
5,PAYMENT,4072.36,C380826865,37552.04,33479.68,M109402080,4244.34,8316.7,0,0
218,CASH_OUT,230.23,C113091061,31824.75,31594.52,C660749533,76195.84,76426.07,0,0
503,PAYMENT,1622.2,C600429804,26302.4,24680.2,M100418956,94233.98,95856.18,0,0
398,CASH_OUT,9941.73,C223438887,38662.77,28721.04,C703228942,74144.18,84085.91,0,0
393,TRANSFER,1517.41,C880071737,27423.1,25905.69,C585486280,47536.03,49053.44,0,0
207,PAYMENT,6759.24,C277755555,5357.93,0.0,M136210651,22389.99,29149.23,0,0
15,DEBIT,9467.3,C938419314,4728.94,0.0,C233244689,99587.16,109054.46,0,0
554,CASH_IN,1229.94,C429733261,47413.36,46183.42,C794050719,47445.16,48675.1,0,0
461,PAYMENT,8354.68,C270034100,22279.25,13924.57,M365842068,81472.46,89827.14,0,0
691,CASH_OUT,376.08,C503159094,32053.85,31677.77,C280336754,22708.5,23084.58,0,0
575,CASH_OUT,441.24,C285822379,17076.07,16634.83,C667481337,78918.79,79360.03,0,0
743,CASH_OUT,814.29,C414350242,34802.82,33988.53,C184108921,89979.09,90793.38,0,0
241,CASH_IN,1580.69,C340161123,20439.71,18859.02,C276665535,76557.8,78138.49,0,0
564,TRANSFER,504.25,C508717467,4150.27,3646.02,C687296609,53968.24,54472.49,0,0
96,CASH_OUT,1044.46,C206621699,35355.82,34311.36,C809026755,90373.79,91418.25,0,0
734,CASH_OUT,278.57,C403523797,3185.33,2906.76,C646361378,79770.42,80048.99,0,0
485,TRANSFER,1410.33,C133250597,6811.69,5401.36,C436059344,77513.79,78924.12,0,0
407,TRANSFER,4398.08,C567894010,27310.35,22912.27,C360457292,95237.55,99635.63,0,0
231,PAYMENT,2265.0,C734700322,46540.54,44275.54,M509290508,27490.67,29755.67,0,0
655,CASH_OUT,4158.92,C368401780,7522.89,3363.97,C604099179,67167.82,71326.74,0,0
171,CASH_OUT,369.63,C971799237,44575.06,44205.43,C939882196,74730.37,75100.0,0,0
541,TRANSFER,1279.71,C357757000,13626.71,12347.0,C424037054,21800.78,23080.49,0,0
36,TRANSFER,105.29,C621324278,19648.44,19543.15,C528300359,82950.11,83055.4,0,0
525,PAYMENT,1160.01,C628799176,48350.05,47190.04,M405474769,81825.11,82985.12,0,0
160,PAYMENT,2388.02,C865179478,30873.95,28485.93,M661962127,18649.14,21037.16,0,0
699,TRANSFER,2108.36,C404194173,13434.27,11325.91,C961159732,46687.35,48795.71,0,0
243,TRANSFER,160.55,C134299680,17107.09,16946.54,C753164601,68295.0,68455.55,0,0
86,CASH_OUT,165.17,C917966020,18848.52,18683.35,C373022235,34217.51,34382.68,0,0
578,TRANSFER,914.85,C226034958,31687.11,30772.26,C525554065,54810.99,55725.84,0,0
682,CASH_IN,3694.44,C558829299,40129.08,36434.64,C512594326,14653.02,18347.46,0,0
557,PAYMENT,56.98,C474735853,25896.52,25839.54,M339355600,35372.72,35429.7,0,0
574,CASH_IN,2397.31,C240737587,34686.32,32289.01,C567660562,49607.5,52004.81,0,0
646,PAYMENT,512.44,C505101397,13588.06,13075.62,M243099101,72305.27,72817.71,0,0
28,CASH_OUT,7225.17,C983734832,48297.25,41072.08,C791858389,8804.47,16029.64,0,0
620,TRANSFER,1411.24,C148673021,21572.71,20161.47,C573725970,75293.13,76704.37,0,0
556,TRANSFER,127.67,C329121581,34365.32,34237.65,C991429422,80576.34,80704.01,0,0
340,PAYMENT,3131.25,C899787448,15724.18,12592.93,M392842037,1552.18,4683.43,0,0
331,PAYMENT,1662.08,C210342587,35495.5,33833.42,M867605390,4479.69,6141.77,0,0
640,CASH_OUT,5331.63,C197252734,35718.07,30386.44,C991259274,69406.72,74738.35,0,0
506,TRANSFER,2642.63,C932109671,28579.93,25937.3,C221219168,54470.39,57113.02,0,0
348,CASH_IN,2953.41,C980105239,32096.23,29142.82,C426657008,25402.93,28356.34,0,0
473,PAYMENT,3649.58,C400853549,12447.02,8797.44,M935051183,5592.32,9241.9,0,0
231,CASH_IN,1368.35,C352943664,10761.75,9393.4,C207901686,57732.56,59100.91,0,0
190,PAYMENT,3937.13,C782825868,46075.34,42138.21,M880065943,23178.66,27115.79,0,0
225,PAYMENT,134.87,C295950143,8300.28,8165.41,M394632633,79513.27,79648.14,0,0
385,PAYMENT,3631.04,C939052492,37010.87,33379.83,M453314767,39316.54,42947.58,0,0
377,DEBIT,2533.62,C668641312,18632.8,16099.18,C289340922,40204.74,42738.36,0,0
283,TRANSFER,2095.61,C759588399,39799.84,0.0,C162505083,21348.5,21348.5,1,0
633,PAYMENT,962.37,C984138836,32839.61,31877.24,M479696101,69798.12,70760.49,0,0
628,PAYMENT,307.91,C907037964,31624.95,31317.04,M200118756,58150.47,58458.38,0,0
259,PAYMENT,2609.64,C129633287,33396.97,30787.33,M534528052,35293.5,37903.14,0,0
359,TRANSFER,1600.09,C174409612,49593.37,47993.28,C249258694,89076.56,90676.65,0,0
710,PAYMENT,619.26,C192687282,43158.06,42538.8,M386383410,13842.41,14461.67,0,0
456,CASH_OUT,115.84,C537804333,36645.62,36529.78,C344236048,50574.97,50690.81,0,0
411,CASH_OUT,1939.62,C684932274,13288.83,11349.21,C919714674,905.99,2845.61,0,0
649,DEBIT,342.53,C821606784,20067.82,19725.29,C993594794,78253.77,78596.3,0,0
318,TRANSFER,6632.5,C535828571,41167.91,34535.41,C713803037,28914.78,35547.28,0,0
677,PAYMENT,413.16,C227044131,24862.51,24449.35,M544859025,59159.09,59572.25,0,0
225,CASH_IN,86.37,C880653432,19274.8,19188.43,C189086009,97089.42,97175.79,0,0
234,TRANSFER,764.69,C594651624,25755.67,24990.98,C226753038,81827.42,82592.11,0,0
684,TRANSFER,485.8,C874248063,49306.53,48820.73,C943824355,87779.29,88265.09,0,0
664,CASH_OUT,3921.4,C825026302,49195.26,45273.86,C381795660,47507.91,51429.31,0,0
374,PAYMENT,858.91,C278698452,9777.33,8918.42,M875758367,67701.24,68560.15,0,0
672,TRANSFER,708.39,C284268925,3040.36,2331.97,C434571238,26537.19,27245.58,0,0
608,PAYMENT,13156.79,C845548097,5322.93,0.0,M676538990,3629.77,16786.56,0,0
472,PAYMENT,411.48,C478342872,44394.43,43982.95,M166138090,40831.44,41242.92,0,0
233,PAYMENT,227.07,C774910078,20713.36,20486.29,M494057027,72263.45,72490.52,0,0
692,PAYMENT,916.85,C988166102,2021.9,1105.05,M669868129,46278.2,47195.05,0,0
113,TRANSFER,1303.36,C354306516,32072.15,30768.79,C194019849,16571.79,17875.15,0,0
497,CASH_OUT,3577.21,C692690064,5969.52,2392.31,C913768558,12806.27,16383.48,0,0
442,TRANSFER,7782.52,C985438039,5761.84,0.0,C982062454,49489.04,57271.56,0,0
