Experiment_ID,Description,Feature_Set,Validation_Type,Model,accuracy,precision,recall,f1,roc_auc,pr_auc,average_precision,specificity,false_positive_rate,false_negative_rate,brier_score,threshold_used,confusion_matrix,tp,fp,tn,fn
Exp 1,All Available Features (Leakage Baseline),Full PaySim + Post-Txn Balance Wipeout,Temporal (70/30),HistGradientBoosting,0.9955,0.9828,0.6333,0.7703,0.8845,0.7357,0.7357,0.9999,0.0001,0.3667,0.0042,0.5,"[[7409, 1], [33, 57]]",57,1,7409,33
Exp 2,Leakage-Free Features (Cleaned),Authorization-Time Only,Temporal Validation,HistGradientBoosting,0.9868,0.375,0.0469,0.0833,0.6789,0.1089,0.1089,0.999,0.001,0.9531,0.0121,0.5,"[[4931, 5], [61, 3]]",3,5,4931,61
Exp 3,Authorization-Time Features Only,Pre-Txn + Instantaneous,Temporal Validation,Random Forest,0.9852,0.3529,0.1875,0.2449,0.6531,0.1072,0.1072,0.9955,0.0045,0.8125,0.0412,0.5,"[[4914, 22], [52, 12]]",12,22,4914,52
Exp 4,Behavioural Features Only,Deviation & Profile Signals,Temporal Validation,HistGradientBoosting,0.9872,0.0,0.0,0.0,0.6089,0.0219,0.0219,1.0,0.0,1.0,0.0126,0.5,"[[4936, 0], [64, 0]]",0,0,4936,64
Exp 5,Transactional Features Only,Amount & Type Features,Temporal Validation,HistGradientBoosting,0.9872,0.5,0.0469,0.0857,0.6825,0.1541,0.1541,0.9994,0.0006,0.9531,0.0116,0.5,"[[4933, 3], [61, 3]]",3,3,4933,61
Exp 6,Behavioural + Transactional Fusion,Complete Authorization Set,Temporal Validation,Gradient Boosting,0.982,0.1176,0.0625,0.0816,0.7047,0.0675,0.0675,0.9939,0.0061,0.9375,0.0161,0.5,"[[4906, 30], [60, 4]]",4,30,4906,60
Exp 7,Supervised ML Benchmark Only,Clean Authorization Set,Temporal Validation,Random Forest,0.9866,0.0,0.0,0.0,0.6482,0.1018,0.1018,0.9994,0.0006,1.0,0.0121,0.5,"[[4933, 3], [64, 0]]",0,3,4933,64
Exp 8,Unsupervised Anomaly Detection Only,Isolation Forest (Normal Fit),Temporal Validation,Isolation Forest,0.8848,0.0294,0.25,0.0526,0.6117,0.0205,0.0205,0.893,0.107,0.75,0.1185,0.5,"[[4408, 528], [48, 16]]",16,528,4408,48
Exp 9,Supervised + Anomaly Fusion,GBM (70%) + IsolationForest (30%),Temporal Validation,Dual Engine Ensemble,0.9824,0.125,0.0625,0.0833,0.6448,0.0551,0.0551,0.9943,0.0057,0.9375,0.023,0.5,"[[4908, 28], [60, 4]]",4,28,4908,60
Exp 10,Platt-Calibrated Probabilities,Clean Authorization Set,Out-of-Time Test Set,Calibrated Gradient Boosting,0.9878,0.0,0.0,0.0,0.6725,0.0509,0.0509,0.999,0.001,1.0,0.0114,0.5,"[[4939, 5], [56, 0]]",0,5,4939,56
Exp 11,Random Split Comparison (Lookahead Bias),Clean Authorization Set,Random 70/30 Split,HistGradientBoosting,0.9884,0.1667,0.0208,0.037,0.6037,0.0586,0.0586,0.9989,0.0011,0.9792,0.0106,0.5,"[[4447, 5], [47, 1]]",1,5,4447,47
Exp 12,External Validation on BAF Dataset,BAF Adapted Domain Features,External Benchmark (NeurIPS),HistGradientBoosting,0.8682,0.0,0.0,0.0,0.5686,0.1747,0.1747,0.95,0.05,1.0,0.08,0.5,[],0,0,0,0
